SH01Ex ,SH01Ex2,SH01Ex3,SH01Tr ,SH01Tr2,SH01Tr3,SH01Fu,SH01Fu2,SH02Ex,SH02Ex2,SH02Tr2,SH02Fu,SH03Ex,SH03Ex2,SH03Ex3,SH03Ex4,SH03Tr2,SH03Tr3,SH03Fu,SH03Fu2,SH03Fu3,SH03Fu4,SH05Ex,SH05Ex2,SH05Tr,SH05Tr2,SH05Fu,SH05Fu2,SH06Ex,SH06Tr,SH06Fu,SH07Ex,SH07Ex2,SH07Tr,SH07Tr2,SH07Fu,SH07Fu2,SH08Ex,SH08Ex2,SH08Tr2,SH08Tr,SH08Fu,SH09Ex,SH09Ex2,SH09Ex3,SH09Tr,SH09Tr2,SH09Fu,SH09Fu2,SH09Fu3,SH10Ex2,SH10Ex3,SH10Tr2,SH10Tr3,SH10Fu2,SH10Fu3,SH11Ex,SH11Ex2,SH11Ex3,SH11Tr,SH11Tr2,SH11Tr3,SH11Fu,SH11Fu2,SH11Fu3,SH12Ex,SH12Ex2,SH12Ex3,SH12Ex4,SH12Tr,SH12Tr2,SH12Fu2,SH12Fu3,SH12Fu4,SH13Ex,SH13Tr,SH13Fu,SH14Ex,SH14Fu,SH15Ex,SH15Ex2,SH15Tr,SH15Fu,SH15Fu2,SH16Ex,SH16Tr,SH16Fu,SH33Ex,SH33Tr,SH34Ex,SH34Fu,SH34Ex2,SH34Ex3,SH34Tr2,SH34Tr3,SH34Fu2,SH34Fu3,SH38Ex2,SH38Tr2,SH38Fu2,SH38Ex3,SH38Fu3,SH39Ex,SH39Fu,SH42Ex,SH42Tr,SH42Fu,SH43Ex,SH43Tr,SH44Ex,SH44Tr,SH44Fu
754,37136,0,0,0,0,66194,89633,121,0,56779,6279,0,1790,141,0,18692,13333,2676,17041,23688,17511,0,108,195,0,157,24,8622,47311,77510,0,2006,0,0,1054,697,0,379,3665,0,463,723,109,4008,4779,152,2760,0,1470,0,0,0,0,0,0,0,0,0,0,0,128747,0,2043,0,0,0,0,216,16,5206,0,0,78,0,0,932,1610,699,0,0,2727,424,24551,6409,0,3006,0,0,0,0,0,0,16044,40934,0,3958,0,221,225,281,0,65,3770,1205,20256,0,10885,0,24,3938,37388
0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,0,0,24495,76,0,5,0,0,237,0,0,462,0,0,0,0,0,257,142,16,0,0,0,0,0,0,0,0,0,0,0,39,617,0,0,0,0,0,1780,0,0,0,0,0,0,19,0,0,0,0,638,843,0,0,0,0,0,0,0,38,0,0,8948,0,0,0,0,0,0,0,0,0,0,76,524,0,0,0,0,0,0,0,16041,450,1331,0,37,0,0,0,0,0,119,0,0,0,10,0,0,0,0,0,0,0,792,0,0,198,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368345,62355,1261516,154683,0,1636812,1015,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1118,0,2511,0,0,0,0,848999,33319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,16,0,0,0,0,0,0,0,0,0,0,0,177102,51751,0,100,79944,38835,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,149105,3087,71562,10388,672599,43,254179,95593,16661,0,0,0,0,0,0,0,0,0,0,211,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7999,0,27665,3093,0,34732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6544,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275678,45713,1020853,101295,0,1218063,1116,926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,1260,0,0,0,0,54367,2183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,4462,0,0,139,0,2142,252,46,0,1068,0,0,0,0,0,4313,0,327,60,6024,181,0,0,0,0,0,0,187,29,53693,0,0,0,0,259,93,0,449,0,0,1369,0,0,1518,0,0,280,0,0,958,0,0,0,0,0,0,0,0,63,0,763,153,0,0,0,0,36,0,0,0,0,40,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,0,0,0,466,100,3662,0,0,0,0,0,0
175,10702,0,0,0,0,47629,1087,523,0,11665,5088,0,0,155,0,14625,481,1748,498,1548,405,0,0,0,0,14,44,1792,6153,26533,1182,827,0,0,14054,1105,430,1564,68211,0,8222,783,0,1676,3761,377,7694,0,325,25817,0,0,0,0,57,174,2565,41,0,0,20,362,1503,7072,0,0,0,11,0,0,0,0,0,44,118,0,59,554,15937,4595,58788,7290,5957,0,0,1722,79598,25,679,0,0,405,0,0,253,0,13,147,0,10,0,777,1082,411,118,0,62,0,0,0,0
